autor_articulo,href_articulo,imagen,medio,time,titulo_articulo,titulo_imagen
Fernando J. Pérez,https://elpais.com/politica/2018/11/12/actualidad/1542024571_191768.html,//ep01.epimg.net/politica/imagenes/2018/11/09/actualidad/1541762253_215350_1541787228_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,Las asociaciones de jueces critican el pacto para el Poder Judicial de Gobierno y PP,"Acto de apertura del año judicial, en la imagen, el presidente del Tribunal Supremo, Carlos Lesmes (izquierda), Manuel Marchena (centro) y Luis María Díez-Picazo (derecha)."
José Marcos,https://elpais.com/politica/2018/11/12/actualidad/1542031568_215312.html,,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,El juez que dictó la sentencia de Gürtel será uno de los vocales del nuevo consejo,
Carlos E. Cué,https://elpais.com/politica/2018/11/12/actualidad/1542008392_972068.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542008731_305295_1542023327_noticiarelacionadaportadillas_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,Gobierno y PP acuerdan que el conservador Marchena presida un CGPJ progresista,Un hombre de confianza del PP para controlar el volcán
Eneko Ruiz Jiménez,https://elpais.com/cultura/2018/11/12/actualidad/1542048794_633149.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542049105_867838_1542049674_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,"Muere Stan Lee, el creador de Spiderman y Hulk","Stan Lee, en la presentación de una película en California."
Pablo Ximénez de Sandoval,https://elpais.com/internacional/2018/11/12/actualidad/1542043820_456958.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542046174_343594_1542049398_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,Más de 200 desaparecidos en los incendios de California,Una bolsa para cadáveres en Paradise.
Jesús García,https://elpais.com/politica/2018/11/12/actualidad/1542024119_843511.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542024816_414394_1542046557_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,"El Tribunal de Cuentas condena a Mas a devolver 4,9 millones gastados en la consulta del 9-N","Artur Mas, el 9 de noviembre de 2014."
Diego Torres,https://elpais.com/deportes/2018/11/12/actualidad/1542052370_139900.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542053362_478793_1542053432_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,El Madrid da cuerda a Solari,Solari da indicaciones en Balaídos.
ÓSCAR GUTIÉRREZ,https://elpais.com/internacional/2018/11/06/actualidad/1541499315_530900.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada/1542048036_402384_1542048177_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,"Cientos de yihadistas, atrapados en el limbo","Columna del ISIS en Raqa (Siria), en 2014."
Javier Arroyo,https://elpais.com/politica/2018/11/12/actualidad/1542046433_448796.html,//ep01.epimg.net/politica/imagenes/2018/11/12/actualidad/1542046433_448796_1542048420_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,Tres muertos en Guadix por la explosión de una pirotecnia,Vista de la explosión en Guadix (Granada).
Javier Martín del Barrio,https://elpais.com/internacional/2018/11/12/actualidad/1542024986_799798.html,//ep01.epimg.net/elpais/imagenes/2018/11/12/portada_secciones/1542028188_907580_1542031018_portada_normal.jpg,EL PAÍS: el periódico global,2018-11-12T21:16:19.838826,El aeropuerto de Lisboa a un avión en apuros: “¿Aterrizas en el mar o en el río?”,Un modelo de Air Astana como el de Lisboa.
